#Time(fs)       #Bond_length
  0.00000000    0.000000000000
  0.24900000   -0.000011021273
  0.49800000   -0.000031052235
  0.74700000   -0.000060086028
  0.99600000   -0.000098112803
  1.24500000   -0.000145119818
  1.49400000   -0.000201091572
  1.74300000   -0.000266009964
  1.99200000   -0.000339854480
  2.24100000   -0.000422602405
  2.49000000   -0.000514229059
  2.73900000   -0.000614708056
  2.98800000   -0.000724011582
  3.23700000   -0.000842110685
  3.48600000   -0.000968975583
  3.73500000   -0.001104575988
  3.98400000   -0.001248881425
  4.23300000   -0.001401861570
  4.48200000   -0.001563486585
  4.73100000   -0.001733727447
  4.98000000   -0.001912556284
  5.22900000   -0.002099946694
  5.47800000   -0.002295874062
  5.72700000   -0.002500315857
  5.97600000   -0.002713251917
  6.22500000   -0.002934664715
  6.47400000   -0.003164539600
  6.72300000   -0.003402865016
  6.97200000   -0.003649632692
  7.22100000   -0.003904837798
  7.47000000   -0.004168479076
  7.71900000   -0.004440558924
  7.96800000   -0.004721083449
  8.21700000   -0.005010062477
  8.46600000   -0.005307509517
  8.71500000   -0.005613441678
  8.96400000   -0.005927879544
  9.21300000   -0.006250846985
  9.46200000   -0.006582370927
  9.71100000   -0.006922481087
  9.96000000   -0.007271209559
 10.20900000   -0.007628590440
 10.45800000   -0.007994659353
 10.70700000   -0.008369452909
 10.95600000   -0.008753008103
 11.20500000   -0.009145361632
 11.45400000   -0.009546549156
 11.70300000   -0.009956604474
 11.95200000   -0.010375558635
 12.20100000   -0.010803438964
 12.45000000   -0.011240268023
 12.69900000   -0.011686062487
 12.94800000   -0.012140831943
 13.19700000   -0.012604577623
 13.44600000   -0.013077291042
 13.69500000   -0.013558952582
 13.94400000   -0.014049529987
 14.19300000   -0.014548976798
 14.44200000   -0.015057230720
 14.69100000   -0.015574211922
 14.94000000   -0.016099821290
 15.18900000   -0.016633938622
 15.43800000   -0.017176420789
 15.68700000   -0.017727099854
 15.93600000   -0.018285781183
 16.18500000   -0.018852241526
 16.43400000   -0.019426227121
 16.68300000   -0.020007451800
 16.93200000   -0.020595595135
 17.18100000   -0.021190300631
 17.43000000   -0.021791173991
 17.67900000   -0.022397781472
 17.92800000   -0.023009648341
 18.17700000   -0.023626257477
 18.42600000   -0.024247048125
 18.67500000   -0.024871414826
 18.92400000   -0.025498706557
 19.17300000   -0.026128226102
 19.42200000   -0.026759229678
 19.67100000   -0.027390926838
 19.92000000   -0.028022480683
 20.16900000   -0.028653008399
 20.41800000   -0.029281582140
 20.66700000   -0.029907230288
